Validation Fold,Training Acc,Validation Acc
0,73.42137145996094,58.064516129032256
1,72.9422607421875,66.3594470046083
2,81.19778442382812,67.62672811059907
3,77.163330078125,67.35483870967742
4,72.95649719238281,66.1744966442953
