Validation Fold,Training Acc,Validation Acc
0,69.9229736328125,62.52276867030965
1,48.640106201171875,62.021857923497265
2,66.57819366455078,54.11764705882353
3,72.50506591796875,64.20765027322405
4,51.984989166259766,58.81147540983606
