Validation Fold,Training Acc,Validation Acc
0,47.09601974487305,48.0204937121565
1,60.298545837402344,49.81785063752277
2,60.67827606201172,52.09471766848816
3,55.85155487060547,45.62841530054645
4,61.01803970336914,44.330601092896174
