Validation Fold,Training Acc,Validation Acc
0,58.48847961425781,51.95852534562212
1,54.28571701049805,53.80184331797235
2,64.41167449951172,59.56221198156682
3,75.50776672363281,49.54838709677419
4,62.68718338012695,54.166666666666664
