Validation Fold,Training Acc,Validation Acc
0,82.50460815429688,70.04608294930875
1,81.06200408935547,68.08755760368663
2,77.95580291748047,71.19815668202764
3,63.375152587890625,69.280205655527
4,60.1478385925293,68.27956989247312
