Validation Fold,Training Acc,Validation Acc
0,85.50537872314453,80.87557603686636
1,87.8341064453125,77.88018433179724
2,85.8924789428711,81.79723502304148
3,86.50537872314453,86.06451612903226
4,87.55252838134766,82.66129032258064
