Validation Fold,Training Acc,Validation Acc
0,75.51459503173828,68.77880184331798
1,71.54531860351562,63.824884792626726
2,69.72042846679688,63.0184331797235
3,76.04540252685547,64.25806451612904
4,72.96833038330078,66.53225806451613
