Validation Fold,Training Acc,Validation Acc
0,71.92626953125,55.87557603686636
1,59.797237396240234,52.764976958525345
2,65.78801727294922,64.63133640552995
3,80.22103118896484,57.806451612903224
4,76.16454315185547,57.795698924731184
